"","id","LD_FAKE","age_w1","age_w2","age_w3","agegrp_w1","agegrp_w2","agegrp_w3","piat_w1","piat_w2","piat_w3"
"1",1,0,6,8.33333333333333,10.3333333333333,6.5,8.5,10.5,18,35,59
"2",2,1,6,8.5,10.5833333333333,6.5,8.5,10.5,18,25,28
"3",3,1,6.08333333333333,8.41666666666667,10.4166666666667,6.5,8.5,10.5,18,23,32
"4",4,0,6,8.5,10.6666666666667,6.5,8.5,10.5,18,31,50
"5",5,0,6,8.16666666666667,10.25,6.5,8.5,10.5,18,33,53
"6",6,1,6,8.5,10.5,6.5,8.5,10.5,18,28,31
"7",7,1,6.08333333333333,8.5,10.5,6.5,8.5,10.5,17,28,28
"8",8,0,6,8.41666666666667,10.5833333333333,6.5,8.5,10.5,17,29,41
"9",9,1,6.16666666666667,8.75,10.8333333333333,6.5,8.5,10.5,28,26,26
"10",10,1,6.16666666666667,8.41666666666667,10.4166666666667,6.5,8.5,10.5,16,20,21
"11",11,0,6.16666666666667,8.5,10.5833333333333,6.5,8.5,10.5,18,28,42
"12",12,0,6.08333333333333,8.25,10.5,6.5,8.5,10.5,18,31,57
"13",13,0,6.08333333333333,8.58333333333333,10.3333333333333,6.5,8.5,10.5,18,41,49
"14",14,0,6.16666666666667,8.5,10.5833333333333,6.5,8.5,10.5,18,31,52
"15",15,0,6.16666666666667,8.41666666666667,10.5833333333333,6.5,8.5,10.5,18,33,44
"16",16,0,6.16666666666667,8.58333333333333,10.5,6.5,8.5,10.5,18,43,46
"17",17,1,6.25,8.5,10.5833333333333,6.5,8.5,10.5,37,28,29
"18",18,1,6.25,8.5,10.6666666666667,6.5,8.5,10.5,16,27,27
"19",19,1,6.16666666666667,8.58333333333333,10.6666666666667,6.5,8.5,10.5,18,18,26
"20",20,0,6.25,8.75,10.8333333333333,6.5,8.5,10.5,18,38,47
"21",21,1,6.16666666666667,8.58333333333333,10.6666666666667,6.5,8.5,10.5,18,22,26
"22",22,0,6.16666666666667,8.5,10.8333333333333,6.5,8.5,10.5,22,27,45
"23",23,1,6.33333333333333,8.75,10.75,6.5,8.5,10.5,14,37,37
"24",24,0,6.33333333333333,8.75,10.8333333333333,6.5,8.5,10.5,18,40,35
"25",25,0,6.25,8.58333333333333,10.6666666666667,6.5,8.5,10.5,29,31,43
"26",26,1,6.25,8.75,10.6666666666667,6.5,8.5,10.5,17,23,21
"27",27,0,6.25,9.16666666666667,10.9166666666667,6.5,8.5,10.5,19,36,57
"28",28,0,6.33333333333333,9.08333333333333,10.8333333333333,6.5,8.5,10.5,4,27,28
"29",29,0,6.25,8.66666666666667,10.6666666666667,6.5,8.5,10.5,18,24,45
"30",30,0,6.25,8.41666666666667,10.5,6.5,8.5,10.5,18,44,51
"31",31,0,6.33333333333333,8.83333333333333,10.9166666666667,6.5,8.5,10.5,18,31,51
"32",32,0,6.33333333333333,8.66666666666667,10.5833333333333,6.5,8.5,10.5,24,39,48
"33",33,0,6.33333333333333,8.91666666666667,10.75,6.5,8.5,10.5,18,34,29
"34",34,0,6.25,8.5,10.5833333333333,6.5,8.5,10.5,17,36,37
"35",35,1,6.33333333333333,8.66666666666667,10.6666666666667,6.5,8.5,10.5,18,21,28
"36",36,0,6.41666666666667,8.75,10.8333333333333,6.5,8.5,10.5,16,38,47
"37",37,0,6.41666666666667,8.83333333333333,10.9166666666667,6.5,8.5,10.5,18,40,47
"38",38,0,6.41666666666667,8.83333333333333,10.8333333333333,6.5,8.5,10.5,22,36,34
"39",39,0,6.41666666666667,8.66666666666667,10.8333333333333,6.5,8.5,10.5,18,41,48
"40",40,0,6.33333333333333,8.83333333333333,10.8333333333333,6.5,8.5,10.5,19,40,46
"41",41,0,6.33333333333333,8.75,10.8333333333333,6.5,8.5,10.5,18,28,36
"42",42,0,6.33333333333333,8.83333333333333,10.8333333333333,6.5,8.5,10.5,18,28,47
"43",43,0,6.41666666666667,8.91666666666667,11,6.5,8.5,10.5,20,36,45
"44",44,0,6.5,8.75,10.9166666666667,6.5,8.5,10.5,18,28,41
"45",45,0,6.41666666666667,8.83333333333333,10.9166666666667,6.5,8.5,10.5,16,34,43
"46",46,0,6.41666666666667,8.91666666666667,11.0833333333333,6.5,8.5,10.5,25,45,49
"47",47,1,6.41666666666667,8.83333333333333,11.0833333333333,6.5,8.5,10.5,18,24,31
"48",48,1,6.5,8.91666666666667,10.9166666666667,6.5,8.5,10.5,17,27,29
"49",49,0,6.5,8.75,10.6666666666667,6.5,8.5,10.5,19,32,48
"50",50,0,6.5,8.91666666666667,10.9166666666667,6.5,8.5,10.5,43,55,61
"51",51,1,6.41666666666667,8.75,10.8333333333333,6.5,8.5,10.5,20,24,32
"52",52,0,6.41666666666667,8.75,11,6.5,8.5,10.5,18,46,47
"53",53,0,6.41666666666667,8.83333333333333,10.8333333333333,6.5,8.5,10.5,18,29,40
"54",54,0,6.5,8.91666666666667,10.9166666666667,6.5,8.5,10.5,28,56,61
"55",55,0,6.5,8.91666666666667,10.8333333333333,6.5,8.5,10.5,18,20,40
"56",56,0,6.58333333333333,9.33333333333333,11.1666666666667,6.5,8.5,10.5,21,30,38
"57",57,0,6.58333333333333,9,11.1666666666667,6.5,8.5,10.5,21,22,47
"58",58,1,6.5,8.91666666666667,11.0833333333333,6.5,8.5,10.5,18,22,21
"59",59,1,6.58333333333333,8.83333333333333,10.75,6.5,8.5,10.5,16,21,32
"60",60,0,6.66666666666667,9.91666666666667,12.0833333333333,6.5,8.5,10.5,29,37,48
"61",61,0,6.66666666666667,9.08333333333333,11.0833333333333,6.5,8.5,10.5,21,32,47
"62",62,1,6.58333333333333,9,11,6.5,8.5,10.5,19,20,26
"63",63,0,6.58333333333333,8.91666666666667,11,6.5,8.5,10.5,18,34,41
"64",64,1,6.66666666666667,9.08333333333333,11.0833333333333,6.5,8.5,10.5,28,30,31
"65",65,0,6.66666666666667,8.91666666666667,11,6.5,8.5,10.5,21,28,43
"66",66,0,6.66666666666667,9.25,11,6.5,8.5,10.5,18,25,32
"67",67,0,6.58333333333333,9,11,6.5,8.5,10.5,20,24,39
"68",68,0,6.58333333333333,9,11.25,6.5,8.5,10.5,22,30,42
"69",69,0,6.66666666666667,9.16666666666667,11.3333333333333,6.5,8.5,10.5,26,47,45
"70",70,0,6.66666666666667,9,11.0833333333333,6.5,8.5,10.5,22,45,40
"71",71,0,6.66666666666667,9.16666666666667,11.25,6.5,8.5,10.5,22,41,53
"72",72,0,6.75,9.25,11.1666666666667,6.5,8.5,10.5,18,24,40
"73",73,1,6.66666666666667,9,11.1666666666667,6.5,8.5,10.5,26,28,28
"74",74,1,6.83333333333333,9.25,11.3333333333333,6.5,8.5,10.5,26,28,30
"75",75,1,6.75,9.25,11.1666666666667,6.5,8.5,10.5,18,24,26
"76",76,0,6.75,9.16666666666667,11.25,6.5,8.5,10.5,31,41,62
"77",77,1,6.83333333333333,8.08333333333333,10,6.5,8.5,10.5,17,19,28
"78",78,1,6.83333333333333,9.41666666666667,11.3333333333333,6.5,8.5,10.5,42,29,30
"79",79,0,6.83333333333333,9.25,11.25,6.5,8.5,10.5,28,42,50
"80",80,0,6.83333333333333,9.25,11.4166666666667,6.5,8.5,10.5,23,39,55
"81",81,0,6.91666666666667,9.33333333333333,11.25,6.5,8.5,10.5,28,47,53
"82",82,0,6.83333333333333,9.41666666666667,11.4166666666667,6.5,8.5,10.5,26,44,32
"83",83,0,6.83333333333333,9.16666666666667,11.3333333333333,6.5,8.5,10.5,19,35,51
"84",84,0,6.91666666666667,9.33333333333333,11.3333333333333,6.5,8.5,10.5,18,32,40
"85",85,0,6.91666666666667,9.41666666666667,11.5,6.5,8.5,10.5,29,47,45
"86",86,0,6.91666666666667,9.33333333333333,11.25,6.5,8.5,10.5,16,20,59
"87",87,0,6.91666666666667,9.41666666666667,11.5,6.5,8.5,10.5,22,49,64
"88",88,1,6.91666666666667,9.25,11.3333333333333,6.5,8.5,10.5,22,23,23
"89",89,0,6.91666666666667,9.33333333333333,11.5,6.5,8.5,10.5,23,40,45
